,ID_MN_RESI,NU_IDADE_N,p
289,260580.0,21.0,0.7278911564625851
291,260610.0,12.125,0.528718703976436
292,260620.0,16.471153846153847,0.6530731381869737
293,260640.0,19.944444444444443,0.7134898527656188
295,260680.0,20.6875,0.7237807509710834
297,260750.0,23.0,0.7515527950310559
298,260790.0,9.854166666666666,0.4201147689519783
299,260800.0,36.5,0.8434442270058709
300,260845.0,11.642857142857142,0.5092024539877301
301,260850.0,10.0,0.4285714285714286
305,260950.0,23.0,0.7515527950310559
306,260960.0,11.76923076923077,0.5144724556489264
309,261070.0,10.78888888888889,0.4703545681918495
310,261090.0,10.333333333333334,0.44700460829493094
313,261160.0,10.87410071942446,0.4745049855866925
315,261250.0,14.594262295081966,0.6084566935451519
316,261270.0,25.0,0.7714285714285715
317,261300.0,23.0,0.7515527950310559
320,261410.0,24.11111111111111,0.7630019749835418
321,261420.0,16.583333333333332,0.6554199569274947
322,261450.0,12.916666666666666,0.5576036866359447
323,261470.0,36.0,0.8412698412698413
324,261500.0,15.945121951219512,0.6416279704998635
325,261520.0,17.0,0.6638655462184875
327,261540.0,16.21333333333333,0.6475563909774436
330,261620.0,17.720588235294116,0.6775340841730884
336,270430.0,14.13525114155251,0.5957421868870949
339,270460.0,26.0,0.7802197802197802
340,270500.0,15.833333333333332,0.6390977443609023
341,270570.0,24.0,0.761904761904762
342,270600.0,28.666666666666668,0.8006644518272426
343,270630.0,18.0,0.6825396825396826
344,270710.0,10.0,0.4285714285714286
345,270800.0,11.777777777777779,0.5148247978436659
347,280030.0,20.833333333333332,0.7257142857142858
348,280050.0,79.0,0.9276672694394213
349,280210.0,23.0,0.7515527950310559
350,280350.0,34.0,0.8319327731092437
351,280580.0,24.0,0.761904761904762
352,280710.0,31.0,0.815668202764977
354,290135.0,39.5,0.8553345388788427
357,290360.0,28.0,0.7959183673469388
358,290540.0,16.5,0.6536796536796536
361,290650.0,7.0,0.1836734693877553
362,290820.0,18.0,0.6825396825396826
